meta_2,0.7932
meta_4,0.7561
meta_6,0.7405
meta_8,0.7342
meta_10,0.7331
meta_16,0.7159
local,0.767621208888191
local,0.746334546236561
local,0.72249291103037
local,0.695320181205594
local,0.60625320756246
meta_None,0.7679
meta_4,0.6896
meta_6.0,0.6735
meta_6.0,0.6886
meta_5.0,0.6661
meta_2,0.7389
meta_3,0.7317
meta_4,0.7216
meta_5,0.696
meta_2,0.7777
meta_3,0.7555
meta_4,0.7601
meta_5,0.7303
meta_6,0.7423
meta_0,0.8007
meta_1,0.7939
meta_2,0.7783
meta_3,0.7741
meta_4,0.762
meta_5,0.719
meta_6,0.7582
meta_7,0.751
meta_5,0.7395
meta_5,0.756
meta_1,0.7935
meta_2,0.2915
meta_4,0.2605
meta_10,0.7645
meta_12,0.7576
